tech_filename,tech_timestamp_chargement,objectid_pf_pb,objectid_pt_pb,nb_fibres_connectees_hs,nb_fibres_connectees_utilisees,nb_fibres_connectees_libres,nb_fibres_non_connectees_hs,nb_fibres_non_connectees_utilisees,nb_fibres_non_connectees_libres
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.13983E+18,9.13983E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15663E+18,9.15663E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15821E+18,9.15821E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15573E+18,9.15573E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1491E+18,9.1491E+18,0,7,0,0,0,5
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1663E+18,9.1663E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.16438E+18,,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15886E+18,9.15886E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15852E+18,9.16302E+18,0,115,0,0,0,115
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14291E+18,,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15815E+18,9.15815E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14797E+18,9.14793E+18,0,0,0,0,17,7
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15557E+18,9.15557E+18,0,0,0,0,5,1
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14746E+18,9.14746E+18,0,12,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.13664E+18,9.14627E+18,0,2,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.16647E+18,9.16632E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15976E+18,9.15976E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.16667E+18,9.16667E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15581E+18,9.15623E+18,0,3,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15751E+18,9.15749E+18,0,5,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15435E+18,9.15435E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.1275E+18,9.12749E+18,0,8,0,0,4,20
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15975E+18,9.15975E+18,0,1,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.14503E+18,9.14503E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15306E+18,9.15306E+18,0,6,0,0,2,4
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15327E+18,9.15327E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.13958E+18,9.13958E+18,0,12,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15621E+18,9.15621E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,8.08214E+18,8.04215E+18,0,4,0,0,0,8
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.16221E+18,9.1622E+18,0,0,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15434E+18,9.15434E+18,0,6,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.157E+18,9.157E+18,2,10,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.15935E+18,9.15935E+18,0,12,0,0,0,0
ipo_saturation_pb_20230530_1842.csv.gz,31/05/2023 06:36:48,9.13571E+18,9.14627E+18,0,7,0,0,0,0
