"CODE INTERVENTION","No DESIGNATION","No INTERVENTION","COMMENTAIRE DE SIG","CENTRE","ZONE","REFINT","ETATPIDICOMP","DTPASSPIDICOMP","HEUREPASSPIDICOMP","DTETATPIDICOMP","HEURETATPIDICOMP","DTPREMPLG","HRPREMPLG","FTTH_IMM_OP","FTTH_TYPE_RAC","FTTH_TYPE_SITE","FTTH_ADDUCTABILITE","LIBMATFTTH","REMMATFTTH","REFOCEANE","DISPOSITIF_SPX"
"IQPFTH","297702370","22795212","","MLT","4","47135570","TA","4/25/2023","8:09","4/25/2023","8:09","5/23/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQPFTH","297448298","22817515","","ELK","0","46794094","TA","5/2/2023","20:50","5/2/2023","20:50","5/16/2023","8:00","FT","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","298343902","22831633","","PDZ","0","47314851","TA","5/12/2023","8:13","5/12/2023","8:13","5/24/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","298099554","22818530","","RIE","2","46896539","TA","5/3/2023","10:45","5/3/2023","10:45","5/19/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","298676546","22807895","","LNM","0","46444079","TA","4/27/2023","13:50","4/27/2023","13:50","5/20/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Livraison en point relais","",""
"IQPFTH","223634048","22831634","","RE7","58","47314856","TA","5/12/2023","6:57","5/12/2023","6:57","6/7/2023","8:00","FIBRE44 (FI44)","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison a domicile\Deja detenu","",""
"IQPFTH","298811096","22841121","","STH","4","47366078","","","","","","5/22/2023","8:00","","","","","","","",""
"IQPFTH","296500762","22788332","","PEJ","10","47101433","TA","4/21/2023","8:08","4/21/2023","8:08","5/23/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Livraison a domicile","",""
"IQSFTH","297668657","22842318","","PSO","31","47373315","","","","","","5/30/2023","15:00","","","","","","","",""
"IQPFTH","298022589","21827949","","PRZ","0","41646294","","","","","","3/18/2022","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD\DECODEUR_1:second Decodeur TV UHD","Livraison a domicile\Livraison a domicile\Livraison a domicile","",""
